Month,Year,DayOfWeek,Sex,Age,VehicleAge,TipoVehiculo,TipoPoliza,Fault,ClaimAmount,FraudFound_P,Fraude
Jan,1994,Wednesday,Male,38,6 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jan,1994,Thursday,Male,37,7 years,Sedan,Liability,Third Party,24500,0,Legítimo
Dec,1994,Friday,Male,36,7 years,Sedan,All Perils,Third Party,69000,0,Legítimo
Nov,1994,Tuesday,Female,44,6 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Dec,1994,Wednesday,Male,0,new,Sedan,Liability,Policy Holder,69000,0,Legítimo
Dec,1994,Tuesday,Male,27,6 years,Utility,Liability,Policy Holder,69000,0,Legítimo
May,1994,Tuesday,Male,27,6 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
May,1994,Sunday,Male,39,4 years,Sedan,All Perils,Third Party,24500,0,Legítimo
Oct,1994,Saturday,Male,74,7 years,Sedan,All Perils,Third Party,34500,0,Legítimo
Oct,1994,Sunday,Male,23,4 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Oct,1994,Sunday,Female,25,6 years,Sport,Collision,Third Party,69000,0,Legítimo
Jan,1994,Wednesday,Male,38,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jan,1994,Thursday,Male,41,7 years,Sedan,All Perils,Policy Holder,34500,0,Legítimo
Aug,1994,Saturday,Male,38,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Nov,1994,Thursday,Male,34,7 years,Sport,Collision,Policy Holder,69000,1,Fraude
May,1994,Tuesday,Male,61,more than 7,Sedan,Collision,Third Party,34500,0,Legítimo
Nov,1994,Friday,Male,38,7 years,Sedan,Collision,Policy Holder,24500,1,Fraude
Jan,1994,Thursday,Male,40,7 years,Sedan,All Perils,Policy Holder,15000,0,Legítimo
Nov,1994,Monday,Male,41,7 years,Sedan,All Perils,Third Party,24500,0,Legítimo
Jan,1994,Friday,Male,36,7 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Nov,1994,Tuesday,Male,31,7 years,Utility,All Perils,Policy Holder,69000,1,Fraude
Jan,1994,Saturday,Female,35,6 years,Sedan,All Perils,Third Party,24500,0,Legítimo
Jan,1994,Friday,Female,37,6 years,Sedan,All Perils,Policy Holder,69000,0,Legítimo
Jan,1994,Thursday,Male,55,more than 7,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Jan,1994,Tuesday,Male,31,7 years,Sedan,All Perils,Third Party,24500,0,Legítimo
Dec,1994,Friday,Male,28,7 years,Sedan,Liability,Policy Holder,69000,0,Legítimo
Aug,1994,Monday,Male,28,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Nov,1994,Sunday,Male,44,7 years,Sedan,All Perils,Third Party,24500,0,Legítimo
Jun,1994,Thursday,Male,47,more than 7,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Mar,1994,Thursday,Male,40,6 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
May,1994,Tuesday,Male,23,5 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
May,1994,Monday,Male,31,6 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Nov,1994,Thursday,Male,35,6 years,Sedan,All Perils,Third Party,24500,0,Legítimo
Nov,1994,Thursday,Male,56,more than 7,Utility,All Perils,Policy Holder,69000,1,Fraude
Dec,1994,Monday,Male,50,more than 7,Sedan,Collision,Third Party,24500,0,Legítimo
Dec,1994,Tuesday,Male,16,4 years,Sport,Collision,Third Party,69000,0,Legítimo
Nov,1994,Tuesday,Male,32,7 years,Sedan,Collision,Third Party,34500,0,Legítimo
Aug,1994,Monday,Male,28,6 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Nov,1994,Monday,Male,68,5 years,Sedan,All Perils,Policy Holder,24500,1,Fraude
Dec,1994,Friday,Male,0,new,Sedan,All Perils,Policy Holder,69000,1,Fraude
Feb,1994,Friday,Male,0,new,Sedan,All Perils,Policy Holder,69000,0,Legítimo
Oct,1994,Wednesday,Female,18,2 years,Sport,Collision,Third Party,69000,0,Legítimo
Jun,1994,Monday,Male,30,6 years,Sedan,Collision,Policy Holder,69000,0,Legítimo
Apr,1994,Tuesday,Male,51,more than 7,Sedan,Collision,Policy Holder,24500,0,Legítimo
Feb,1994,Sunday,Male,22,6 years,Sedan,All Perils,Third Party,34500,0,Legítimo
Feb,1994,Saturday,Female,26,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jan,1994,Saturday,Male,53,more than 7,Sedan,Collision,Policy Holder,34500,0,Legítimo
Jan,1994,Sunday,Male,38,7 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Jan,1994,Sunday,Male,27,6 years,Sedan,Liability,Third Party,34500,0,Legítimo
Nov,1994,Monday,Male,29,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jul,1994,Friday,Male,32,5 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Apr,1994,Thursday,Male,18,3 years,Sedan,Collision,Third Party,24500,0,Legítimo
Oct,1994,Thursday,Male,60,more than 7,Sedan,Collision,Third Party,24500,0,Legítimo
Oct,1994,Friday,Male,53,more than 7,Sedan,Collision,Policy Holder,69000,0,Legítimo
Apr,1994,Tuesday,Male,29,6 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Mar,1994,Sunday,Male,29,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Mar,1994,Monday,Male,41,7 years,Sedan,Collision,Third Party,24500,0,Legítimo
Feb,1994,Monday,Male,29,7 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Dec,1994,Wednesday,Male,42,7 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Oct,1994,Friday,Male,34,7 years,Sedan,All Perils,Policy Holder,15000,0,Legítimo
Jul,1994,Monday,Male,51,more than 7,Sport,Collision,Policy Holder,69000,0,Legítimo
Jun,1994,Monday,Male,32,6 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Feb,1994,Monday,Male,52,more than 7,Sedan,Liability,Policy Holder,24500,0,Legítimo
Feb,1994,Thursday,Male,61,more than 7,Sedan,Collision,Policy Holder,24500,0,Legítimo
Feb,1994,Wednesday,Male,25,5 years,Sedan,Liability,Third Party,24500,0,Legítimo
Nov,1994,Thursday,Male,41,7 years,Sedan,All Perils,Policy Holder,34500,0,Legítimo
Sep,1994,Saturday,Male,33,6 years,Sedan,Liability,Third Party,34500,0,Legítimo
Dec,1994,Monday,Male,39,more than 7,Sedan,All Perils,Policy Holder,34500,1,Fraude
Jun,1994,Tuesday,Male,30,6 years,Sedan,Collision,Policy Holder,34500,0,Legítimo
May,1994,Monday,Male,50,more than 7,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jan,1994,Monday,Female,31,7 years,Sedan,Collision,Third Party,24500,0,Legítimo
Jan,1994,Tuesday,Male,23,5 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Jan,1994,Tuesday,Male,31,7 years,Sedan,Liability,Third Party,34500,0,Legítimo
Sep,1994,Tuesday,Male,50,7 years,Sedan,All Perils,Third Party,24500,0,Legítimo
Jan,1994,Saturday,Female,33,6 years,Sedan,Liability,Third Party,24500,0,Legítimo
Jan,1994,Sunday,Male,30,6 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Jan,1994,Monday,Male,44,more than 7,Sedan,Collision,Policy Holder,49500,0,Legítimo
Jan,1994,Wednesday,Male,46,7 years,Sedan,All Perils,Policy Holder,69000,0,Legítimo
Jan,1994,Saturday,Male,31,6 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jan,1994,Friday,Male,48,more than 7,Sedan,Liability,Policy Holder,24500,0,Legítimo
Dec,1994,Friday,Male,33,6 years,Sedan,All Perils,Policy Holder,69000,1,Fraude
Jan,1994,Tuesday,Male,0,new,Sedan,Liability,Policy Holder,69000,0,Legítimo
Jan,1994,Friday,Female,37,7 years,Sedan,Liability,Third Party,69000,0,Legítimo
Jan,1994,Friday,Male,43,7 years,Sedan,All Perils,Third Party,15000,0,Legítimo
Jan,1994,Wednesday,Female,32,4 years,Sedan,Collision,Third Party,34500,0,Legítimo
Jan,1994,Thursday,Male,57,more than 7,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jan,1994,Friday,Male,65,more than 7,Sedan,All Perils,Third Party,24500,0,Legítimo
Oct,1994,Saturday,Female,27,6 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
May,1994,Friday,Male,42,more than 7,Utility,All Perils,Policy Holder,69000,0,Legítimo
May,1994,Thursday,Male,57,more than 7,Sedan,Liability,Policy Holder,24500,0,Legítimo
Mar,1994,Friday,Male,32,7 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Mar,1994,Saturday,Male,29,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Feb,1994,Monday,Male,36,7 years,Sedan,Collision,Policy Holder,34500,0,Legítimo
Feb,1994,Monday,Male,28,6 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Feb,1994,Monday,Female,32,6 years,Sedan,All Perils,Policy Holder,15000,0,Legítimo
Feb,1994,Sunday,Male,33,6 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Feb,1994,Tuesday,Male,37,more than 7,Sedan,All Perils,Policy Holder,34500,0,Legítimo
Jan,1994,Tuesday,Female,26,6 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jan,1994,Sunday,Male,53,more than 7,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Jan,1994,Saturday,Male,53,more than 7,Sedan,All Perils,Third Party,24500,0,Legítimo
Jan,1994,Monday,Male,74,more than 7,Sedan,All Perils,Policy Holder,15000,0,Legítimo
Jun,1994,Tuesday,Male,50,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jun,1994,Thursday,Male,27,6 years,Sedan,All Perils,Third Party,24500,0,Legítimo
Dec,1994,Sunday,Male,48,more than 7,Sedan,All Perils,Third Party,24500,0,Legítimo
Jan,1994,Sunday,Female,55,7 years,Sedan,All Perils,Third Party,24500,0,Legítimo
Jan,1994,Sunday,Male,48,more than 7,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Jan,1994,Monday,Male,0,new,Sedan,Liability,Third Party,69000,0,Legítimo
Dec,1994,Thursday,Male,54,7 years,Sedan,Liability,Third Party,24500,0,Legítimo
Jan,1994,Saturday,Male,36,7 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Dec,1994,Monday,Male,43,more than 7,Sedan,All Perils,Policy Holder,34500,1,Fraude
Dec,1994,Friday,Male,41,more than 7,Sedan,Collision,Policy Holder,34500,0,Legítimo
Feb,1994,Tuesday,Male,48,more than 7,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Dec,1994,Tuesday,Male,26,6 years,Utility,All Perils,Policy Holder,69000,1,Fraude
Feb,1994,Sunday,Female,43,6 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Dec,1994,Thursday,Male,39,more than 7,Sport,Collision,Policy Holder,69000,1,Fraude
Feb,1994,Friday,Male,49,more than 7,Sedan,Collision,Third Party,34500,0,Legítimo
Feb,1994,Saturday,Male,37,7 years,Sedan,Collision,Third Party,34500,0,Legítimo
Aug,1994,Wednesday,Male,36,7 years,Sedan,Collision,Third Party,24500,0,Legítimo
Mar,1994,Sunday,Female,52,6 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Dec,1994,Saturday,Male,29,6 years,Sedan,All Perils,Third Party,15000,0,Legítimo
Dec,1994,Friday,Male,38,more than 7,Sedan,Collision,Third Party,24500,0,Legítimo
Dec,1994,Monday,Male,34,6 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Dec,1994,Monday,Male,0,new,Sedan,Collision,Policy Holder,69000,0,Legítimo
Sep,1994,Monday,Male,41,7 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Dec,1994,Friday,Male,41,7 years,Sedan,All Perils,Third Party,15000,1,Fraude
Apr,1994,Saturday,Male,64,more than 7,Sedan,Collision,Policy Holder,24500,0,Legítimo
Dec,1994,Saturday,Male,27,4 years,Sedan,Collision,Policy Holder,69000,1,Fraude
Sep,1994,Friday,Male,25,5 years,Sedan,Collision,Policy Holder,69000,0,Legítimo
Oct,1994,Saturday,Male,21,5 years,Sedan,Collision,Third Party,24500,0,Legítimo
Dec,1994,Tuesday,Male,31,6 years,Sedan,All Perils,Third Party,15000,0,Legítimo
Apr,1994,Monday,Male,39,more than 7,Sedan,Collision,Policy Holder,24500,0,Legítimo
Feb,1994,Wednesday,Female,37,5 years,Sedan,All Perils,Third Party,15000,0,Legítimo
Feb,1994,Monday,Male,41,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Aug,1994,Thursday,Male,37,7 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Jun,1994,Saturday,Male,28,7 years,Sedan,Collision,Policy Holder,34500,0,Legítimo
Jun,1994,Friday,Male,57,more than 7,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jun,1994,Friday,Male,61,more than 7,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jan,1994,Tuesday,Male,69,more than 7,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jan,1994,Tuesday,Male,67,more than 7,Sedan,Collision,Policy Holder,24500,0,Legítimo
Feb,1994,Thursday,Male,52,more than 7,Sedan,All Perils,Policy Holder,69000,0,Legítimo
Jul,1994,Monday,Male,23,6 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jun,1994,Wednesday,Male,38,7 years,Sedan,Liability,Policy Holder,15000,0,Legítimo
Jan,1994,Monday,Male,32,7 years,Sedan,Collision,Third Party,24500,0,Legítimo
Jan,1994,Monday,Male,26,6 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jan,1994,Monday,Male,57,more than 7,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Nov,1994,Monday,Male,29,6 years,Sedan,Liability,Policy Holder,69000,0,Legítimo
Oct,1994,Tuesday,Male,26,7 years,Sedan,Collision,Third Party,34500,0,Legítimo
Oct,1994,Tuesday,Female,30,6 years,Sedan,Collision,Policy Holder,69000,0,Legítimo
Dec,1994,Thursday,Male,41,7 years,Sedan,Collision,Policy Holder,24500,1,Fraude
Oct,1994,Wednesday,Male,65,7 years,Sedan,Liability,Policy Holder,69000,0,Legítimo
Jun,1994,Monday,Male,33,6 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Apr,1994,Friday,Male,44,6 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Dec,1994,Thursday,Male,26,7 years,Sedan,Collision,Policy Holder,24500,1,Fraude
Mar,1994,Tuesday,Male,32,6 years,Sedan,Collision,Third Party,69000,0,Legítimo
Mar,1994,Thursday,Male,29,6 years,Sedan,All Perils,Policy Holder,15000,0,Legítimo
Dec,1994,Thursday,Male,26,6 years,Sedan,All Perils,Policy Holder,24500,1,Fraude
Mar,1994,Wednesday,Female,37,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Mar,1994,Thursday,Male,33,6 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jan,1994,Monday,Male,54,more than 7,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Jan,1994,Monday,Male,26,7 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Jan,1994,Sunday,Male,32,6 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jan,1994,Saturday,Female,25,4 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Aug,1994,Wednesday,Female,23,5 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Aug,1994,Monday,Male,0,new,Sedan,Collision,Policy Holder,69000,0,Legítimo
Feb,1994,Saturday,Male,31,6 years,Sedan,Collision,Third Party,15000,0,Legítimo
Dec,1994,Friday,Male,0,new,Sedan,Collision,Third Party,69000,0,Legítimo
Feb,1994,Thursday,Male,42,7 years,Sedan,All Perils,Policy Holder,15000,0,Legítimo
Feb,1994,Thursday,Male,42,7 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Feb,1994,Friday,Male,32,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Feb,1994,Wednesday,Male,51,more than 7,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jan,1994,Monday,Male,19,3 years,Sport,Collision,Third Party,69000,0,Legítimo
Jan,1994,Monday,Male,26,7 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Jan,1994,Monday,Male,29,5 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jan,1994,Wednesday,Male,29,6 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Dec,1994,Friday,Male,29,7 years,Sport,Collision,Third Party,69000,0,Legítimo
Dec,1994,Friday,Male,44,more than 7,Sedan,Liability,Policy Holder,24500,0,Legítimo
Dec,1994,Saturday,Male,49,more than 7,Sedan,Collision,Policy Holder,69000,0,Legítimo
Dec,1994,Saturday,Female,47,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Aug,1994,Thursday,Male,50,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jun,1994,Tuesday,Male,50,more than 7,Sedan,Liability,Policy Holder,34500,0,Legítimo
Jun,1994,Friday,Male,44,more than 7,Sedan,Collision,Policy Holder,24500,0,Legítimo
May,1994,Sunday,Male,42,7 years,Sedan,All Perils,Third Party,24500,0,Legítimo
Apr,1994,Thursday,Male,49,more than 7,Sedan,Collision,Policy Holder,34500,0,Legítimo
Apr,1994,Saturday,Male,34,6 years,Sedan,Collision,Third Party,24500,0,Legítimo
Feb,1994,Monday,Female,51,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Dec,1994,Monday,Male,26,5 years,Sedan,Collision,Third Party,69000,0,Legítimo
Feb,1994,Saturday,Male,39,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Feb,1994,Monday,Female,30,6 years,Sedan,All Perils,Third Party,69000,0,Legítimo
Feb,1994,Monday,Male,0,new,Sedan,All Perils,Policy Holder,69000,0,Legítimo
Feb,1994,Tuesday,Male,47,more than 7,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jan,1994,Friday,Female,33,3 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jan,1994,Saturday,Male,31,6 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jan,1994,Monday,Male,50,more than 7,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jan,1994,Sunday,Male,78,more than 7,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jan,1994,Sunday,Male,41,7 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Jan,1994,Tuesday,Male,39,7 years,Sport,Collision,Policy Holder,69000,0,Legítimo
Jan,1994,Wednesday,Male,33,7 years,Sedan,All Perils,Policy Holder,15000,0,Legítimo
Jan,1994,Thursday,Male,0,new,Sedan,Liability,Policy Holder,69000,0,Legítimo
Dec,1994,Monday,Female,48,7 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Dec,1994,Wednesday,Male,0,new,Sedan,Liability,Policy Holder,69000,0,Legítimo
Dec,1994,Sunday,Male,0,new,Sedan,All Perils,Policy Holder,69000,0,Legítimo
Dec,1994,Tuesday,Male,30,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Mar,1994,Saturday,Male,0,new,Sedan,All Perils,Policy Holder,69000,0,Legítimo
Dec,1994,Tuesday,Male,38,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Dec,1994,Tuesday,Male,28,7 years,Sedan,All Perils,Policy Holder,15000,0,Legítimo
Dec,1994,Tuesday,Male,33,6 years,Sedan,All Perils,Policy Holder,15000,0,Legítimo
Jan,1994,Monday,Female,38,more than 7,Sedan,Liability,Policy Holder,34500,0,Legítimo
Jan,1994,Tuesday,Male,0,new,Sedan,Liability,Policy Holder,69000,0,Legítimo
Jan,1994,Tuesday,Male,31,7 years,Sedan,Collision,Policy Holder,34500,0,Legítimo
Jan,1994,Thursday,Male,36,7 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Jan,1994,Wednesday,Male,27,7 years,Sedan,Liability,Third Party,34500,0,Legítimo
